ID,Блок EVP,Целевая аудитория,Рабочая гипотеза,Как доказать,Разрешенная формулировка до проверки,Что нельзя обещать,Владелец,Территория,Источник,Последняя проверка,Статус,Комментарий
EVP-0001,Стабильность и бренд,Кандидат; сотрудники,Сильный федеральный бренд помогает быстрее сформировать первичное доверие,Актуальные исследования узнаваемости и локальные данные обращений,Компания работает под известным брендом и использует единые стандарты,Нельзя называть проценты узнаваемости и лидерские рейтинги без актуального источника,Руководитель или маркетолог,Федеральная и Борисоглебск,TMR-0001; TMR-0002,,CHECK,
EVP-0002,Технологии,Кандидат; новичок,Компания предоставляет цифровые инструменты для работы специалиста,Актуальный перечень функций Космоса и доступных сервисов,Рабочие процессы поддерживаются корпоративными цифровыми инструментами,Нельзя обещать полную автоматизацию и конкретную экономию времени без измерения,CRM-владелец,Борисоглебск,TMR-0001; TMR-0018,,CHECK,
EVP-0003,Поддержка специалиста,Кандидат; новичок,СПН может подключать профильных специалистов на разных этапах,Утвержденная карта ролей и фактическая доступность специалистов,По сложным вопросам специалист работает не один и может подключить профильную поддержку,Нельзя обещать мгновенную помощь или наличие конкретной роли без проверки,Руководитель,Борисоглебск,TMR-0001; TMR-0007,,CHECK,
EVP-0004,Обучение и адаптация,Кандидат; новичок,Офис предоставляет маршрут обучения практику и обратную связь,Утвержденные маршруты график практики и фактическое сопровождение,Новичок получает поэтапный маршрут и практику с обратной связью,Нельзя обещать быстрый успех или сделку к конкретной дате,МОП,Борисоглебск,TMR-0001; TMR-0020,,CHECK,
EVP-0005,Карьерное развитие,Кандидат; СПН 4+ месяцев,Есть разные профессиональные траектории развития,Утвержденные критерии специализаций топ-статуса и наставничества,После освоения базы можно развиваться как эксперт топ-специалист или кандидат в наставники,Нельзя обещать должность срок повышения или гарантированный рост дохода,Руководитель,Борисоглебск,TMR-0001; TMR-0002,,CHECK,
EVP-0006,Маркетинг,Кандидат; СПН,Офис помогает материалами площадками и развитием личного бренда,Перечень доступных инструментов правила компенсации и примеры использования,Специалист может использовать согласованные маркетинговые инструменты и материалы офиса,Нельзя обещать бесплатную рекламу компенсацию или заявки без действующего правила,Маркетолог или руководитель,Борисоглебск,TMR-0002; TMR-0007,,CHECK,
EVP-0007,Клиентские продукты,Кандидат; СПН,Набор клиентских сервисов помогает специалисту обосновывать ценность работы,Утвержденный локальный каталог УТП,Специалист опирается на доступные в городе сервисы компании,Нельзя использовать федеральный перечень как гарантированно доступный в Борисоглебске,МОП и владельцы продуктов,Борисоглебск,TMR-0013; TMR-0014,,CHECK,
EVP-0008,Команда и культура,Кандидат; сотрудники,В офисе ценятся взаимопомощь профессионализм и ответственность,Опрос команды наблюдаемые практики и правила взаимодействия,В офисе действует культура взаимной поддержки и профессиональной ответственности,Нельзя обещать отсутствие конфликтов или одинаковое отношение без механизма обратной связи,Руководитель,Борисоглебск,TMR-0001; TMR-0006,,CHECK,
EVP-0009,Руководитель и обратная связь,Кандидат; сотрудники,Сотрудник получает регулярный разбор и помощь по блокерам,Фактический ритм встреч и примеры решений,Менеджер помогает разобрать затруднение и согласовать следующий шаг,Нельзя обещать постоянную доступность и индивидуальное сопровождение без ограничения,Руководитель и МОП,Борисоглебск,TMR-0001; TMR-0006,,CHECK,
EVP-0010,Доход и предпринимательская модель,Кандидат,Потенциал дохода зависит от навыков воронки качества и системности,Утвержденная модель вознаграждения и обезличенные диапазоны результатов,Доход не фиксирован и зависит от результата сотрудника и действующей системы вознаграждения,Нельзя обещать конкретную сумму гарантированный срок первой сделки или средний доход без методики,Руководитель,Борисоглебск,TMR-0003; TMR-0005,,CHECK,
EVP-0011,Рабочая среда,Кандидат; сотрудники,Офис и инфраструктура поддерживают профессиональную работу,Фактический осмотр правила доступа и перечень доступных ресурсов,В офисе есть рабочая среда для встреч обучения и взаимодействия с коллегами,Нельзя обещать персональное рабочее место или ресурсы без подтверждения,Руководитель,Борисоглебск,TMR-0001; TMR-0007,,CHECK,
EVP-0012,Удержание опытных СПН,СПН 6+,Опытному специалисту важны автономия признание инструменты экспертность и рост,Stay-встречи индивидуальные планы и подтвержденные возможности,Для опытного СПН маршрут развития выбирается индивидуально по цели и сильным сторонам,Нельзя обещать особые условия статус наставника или бюджет без решения руководителя,Руководитель,TMR-0002; TMR-0006,TMR-0002; TMR-0006,,CHECK,Исправить поле территории после согласования
