ID,Ситуация,Кратко,Что делать,Куда обращаться,Какие документы нужны,Связанные контакты,Связанные документы,Связанные инструкции,Риски,Частые ошибки,Лайфхаки,Приоритет,Статус,Источник,Последняя проверка
SIT-0001,Продажа квартиры с детскими долями,Сделка требует разрешения органов опеки,"1. Проверить состав собственников. 2. Определить доли детей. 3. Проверить встречную покупку. 4. Подготовить документы. 5. Получить разрешение опеки. 6. Согласовать сделку с юристом.",Опека МФЦ нотариус,Паспорта свидетельства о рождении документы на продаваемый и приобретаемый объект,ORG-0305; ORG-0302,DOC-0007; DOC-0001,INS-0015,Отказ опеки срыв аванса нарушение сроков,"Начинают продажу без понимания требований опеки; не проверяют встречный объект",Сначала консультация с юристом потом аванс,5,CHECK,Внутренняя база,
SIT-0002,Утерян правоустанавливающий документ,Нужно восстановить или подтвердить основание права,"1. Определить какой документ утерян. 2. Проверить ЕГРН. 3. Выяснить где мог храниться документ. 4. Сделать запрос. 5. Передать юристу результат.",Росреестр МФЦ архив нотариус суд,Паспорт доверенность заявление сведения об объекте,ORG-0301; ORG-0302; ORG-0308,DOC-0001; DOC-0002,INS-0020,Затягивание подготовки сделки,"Не выясняют точное название документа; делают слишком общий запрос",Начинать восстановление до активной рекламы если объект сложный,4,CHECK,Внутренняя база,
SIT-0003,Проверка объекта перед рекламой,Перед публикацией нужно понять юридическую чистоту и базовые риски,"1. Запросить документы собственника. 2. Получить или проверить ЕГРН. 3. Сверить адрес площадь собственников. 4. Проверить обременения. 5. Передать спорные моменты юристу.",Росреестр собственник юрист,ЕГРН паспорт правоустанавливающий документ,ORG-0301,DOC-0001; DOC-0002; DOC-0003; DOC-0009,INS-0001,Реклама проблемного объекта потеря доверия клиента,"Берут объект в работу без документов; не проверяют обременения",Минимальный пакет документов нужен до активного продвижения,5,CHECK,Внутренняя база,
SIT-0004,Нужно согласие супруга,Проверяется необходимость нотариального согласия,"1. Узнать дату и основание приобретения. 2. Проверить брачный статус. 3. Передать документы юристу. 4. При необходимости направить к нотариусу.",Нотариус юрист,Паспорт свидетельство о браке документы на объект,ORG-0500,DOC-0004,INS-0021,Приостановка регистрации спор супруга,"Не учитывают имущество приобретённое в браке; не проверяют смену фамилии",Не обещать что согласие не нужно без проверки юриста,5,CHECK,Внутренняя база,
SIT-0005,Продавец в другом городе,Сделка возможна через доверенность или дистанционные инструменты,"1. Определить какие действия продавец не может выполнить лично. 2. Составить требования к доверенности. 3. Проверить доверенность с юристом. 4. Согласовать способ подписания и расчётов.",Нотариус банк МФЦ юрист,Паспорт доверенность документы на объект,ORG-0500; ORG-0302,DOC-0005; DOC-0001,INS-0022,Недостаточные полномочия в доверенности срыв сделки,"Берут любую доверенность без проверки полномочий",Текст доверенности лучше согласовать до визита к нотариусу,5,CHECK,Внутренняя база,
SIT-0006,Есть зарегистрированные лица,Нужно понять кто прописан и когда будет снят с учёта,"1. Получить сведения о зарегистрированных. 2. Проверить несовершеннолетних и временную регистрацию. 3. Зафиксировать сроки снятия с учёта. 4. Включить условие в соглашение.",Паспортный учёт УК МФЦ,Справка о зарегистрированных паспорт заявление,ORG-0309; ORG-0900,DOC-0006,INS-0023,Покупатель получает объект с зарегистрированными лицами,"Верят словам собственника без подтверждения; не фиксируют сроки выписки",Проверять до аванса а не перед сделкой,5,CHECK,Внутренняя база,
SIT-0007,Есть перепланировка,Нужно понять узаконена ли перепланировка и влияет ли она на сделку,"1. Сравнить фактическое состояние с документами. 2. Проверить технические документы. 3. Уточнить требования банка. 4. Передать юристу и ипотечному брокеру.",БТИ архитектура банк юрист,Техпаспорт план документы на объект,ORG-0303; ORG-0306,DOC-0008,INS-0024,Отказ банка приостановка регистрационные риски,"Скрывают перепланировку; не сверяют план с фактом",Для ипотеки заранее уточнять требования банка,4,CHECK,Внутренняя база,
SIT-0008,Передача квартиры после сделки,Нужно правильно оформить фактическую передачу объекта,"1. Проверить условия договора. 2. Согласовать дату передачи. 3. Снять показания счётчиков. 4. Подписать акт. 5. Передать ключи и документы.",Стороны сделки УК ресурсные организации,Акт передачи квитанции показания счётчиков,DOC-0010; ORG-0800,,Долги споры по состоянию объекта потеря ключей,"Не фиксируют показания счётчиков; подписывают акт без осмотра",Фото счётчиков и состояния квартиры сохранять до полного закрытия вопросов,5,CHECK,Внутренняя база,
SIT-0009,Клиент спрашивает про налог при продаже,Риэлтор должен объяснить общий порядок но не заменять налогового консультанта,"1. Уточнить срок владения и основание приобретения. 2. Проверить наличие льгот и вычетов. 3. Направить к официальным источникам или специалисту. 4. Не давать категоричных обещаний.",ФНС налоговый консультант,Документы на объект дата приобретения цена покупки цена продажи,ORG-0311,DOC-0002,INS-0025,Финансовые претензии клиента из-за неверной консультации,"Обещают что налога не будет без расчёта; не учитывают основание права",Фиксировать что налоговый вопрос требует отдельной проверки,4,CHECK,Внутренняя база,
SIT-0010,Покупка с материнским капиталом,Нужно учесть требования по использованию средств и долям,"1. Проверить сертификат и остаток. 2. Уточнить способ использования. 3. Согласовать с банком если есть ипотека. 4. Проверить обязательства по долям детям.",Социальный фонд банк юрист МФЦ,Сертификат СНИЛС паспорта документы на объект,ORG-0313; ORG-0302,DOC-0007,INS-0026,Задержка расчётов нарушение обязательств по долям,"Не учитывают сроки перечисления; не обсуждают выделение долей",Маткапитал всегда согласовывать с юристом до аванса,5,CHECK,Внутренняя база,
