ID,Версия,Задача,Раздел,Ответственный,Критичность,Статус,Комментарий
REL-0001,v0.2,Создать закрытую Google Таблицу,Запуск,,Высокая,NEW,
REL-0002,v0.2,Импортировать справочники,Импорт,,Высокая,NEW,
REL-0003,v0.2,Импортировать ситуации и документы,Импорт,,Высокая,NEW,
REL-0004,v0.2,Настроить фильтры и статусы,Таблица,,Средняя,NEW,
REL-0005,v0.2,Заполнить первые реальные контакты,Контакты,,Высокая,NEW,
REL-0006,v0.2,Назначить ответственных за разделы,Управление,,Высокая,NEW,
REL-0007,v0.3,Провести тест на 2-3 сотрудниках,Тестирование,,Высокая,NEW,
REL-0008,v0.3,Собрать замечания сотрудников,Тестирование,,Средняя,NEW,
REL-0009,v0.3,Исправить критичные ошибки,Доработка,,Высокая,NEW,
REL-0010,v1.0,Запустить базу на весь офис,Запуск,,Высокая,NEW,
