ID,Аудитория,Область данных,Доступ на чтение,Доступ на изменение,Где хранить,Причина,Статус,Комментарий
IAM-0001,СПН,Индекс знаний,yes,no,Публичный репозиторий,СПН может читать обезличенные подсказки,CHECK,
IAM-0002,СПН,Правила подсказок,yes,no,Публичный репозиторий,Правила используются только для показа подсказок,CHECK,
IAM-0003,СПН,Рабочие контакты сотрудников,yes,no,Закрытая Google Таблица,СПН нужен доступ к рабочим контактам в закрытом контуре,CHECK,
IAM-0004,СПН,Данные клиентов,limited,no,Приватная база данных,Только свои сделки и только в будущем приватном интерфейсе,CHECK,
IAM-0005,юрист,Индекс знаний,yes,no,Публичный репозиторий,Юрист может читать обезличенные инструкции,CHECK,
IAM-0006,юрист,Комментарии по сделкам,limited,limited,Приватная база данных,Только юридически значимые комментарии по назначенным сделкам,CHECK,
IAM-0007,юрист,Данные клиентов,limited,no,Приватная база данных,Только сделки где нужна юридическая проверка,CHECK,
IAM-0008,менеджер,Индекс знаний,yes,no,Публичный репозиторий,Менеджер контролирует качество использования базы,CHECK,
IAM-0009,менеджер,Данные клиентов,limited,no,Приватная база данных,Только сделки своей группы или отдела,CHECK,
IAM-0010,менеджер,Комментарии по сделкам,yes,limited,Приватная база данных,Контроль работы и качества сделки,CHECK,
IAM-0011,брокер,Индекс знаний,yes,no,Публичный репозиторий,Брокер видит ипотечные подсказки,CHECK,
IAM-0012,брокер,Данные клиентов,limited,no,Приватная база данных,Только сделки где есть ипотечная консультация,CHECK,
IAM-0013,администратор базы,Индекс знаний,yes,yes,Публичный репозиторий,Администратор поддерживает структуру базы,CHECK,
IAM-0014,администратор базы,Правила подсказок,yes,yes,Публичный репозиторий,Администратор поддерживает правила и контракты,CHECK,
IAM-0015,администратор базы,Данные клиентов,no,no,Приватная база данных,Администратор базы не должен видеть клиентские данные без отдельной роли,CHECK,
