ID,Направление,Когда обращаться,Роль получателя,Что подготовить,Где хранить реальные контакты,Критичность,Статус,Комментарий
DEP-0001,Юридический департамент,Сложный договор или спорная правовая ситуация,куратор юридического блока,Суть вопроса и обезличенные факты сделки,закрытая Google Таблица,Высокая,CHECK,Заполнить ФИО и канал связи только в закрытом контуре
DEP-0002,Ипотечный департамент,Сложная ипотека или нестандартный заемщик,куратор ипотечного блока,Банк и обезличенное описание ситуации,закрытая Google Таблица,Высокая,CHECK,Не хранить персональные данные заемщика в репозитории
DEP-0003,Отдел обучения,Нужен материал или разбор ошибки сотрудника,представитель обучения,Тема обучения и роль сотрудника,закрытая Google Таблица,Средняя,CHECK,
DEP-0004,Отдел качества,Жалоба клиента или риск по стандартам сервиса,представитель качества,Краткое описание без персональных данных,закрытая Google Таблица,Высокая,CHECK,
DEP-0005,Маркетинг,Нужны материалы для рекламы или согласование текста,представитель маркетинга,Тип объекта и задача продвижения,закрытая Google Таблица,Средняя,CHECK,
DEP-0006,IT поддержка,Ошибка в CRM или доступах,представитель IT,Скриншот без персональных данных и описание ошибки,закрытая Google Таблица,Высокая,CHECK,
DEP-0007,Финансовый отдел,Вопрос по оплатам счетам актам или комиссиям,представитель финансового блока,Тип операции и номер внутренней заявки,закрытая Google Таблица,Средняя,CHECK,
DEP-0008,Безопасность,Подозрение на мошенничество или риск по документам,представитель безопасности,Обезличенное описание риска,закрытая Google Таблица,Высокая,CHECK,Реальные документы только в закрытом контуре
DEP-0009,HR,Вопрос по сотруднику адаптации или кадровому процессу,представитель HR,Тема обращения и роль сотрудника,закрытая Google Таблица,Средняя,CHECK,
DEP-0010,Руководитель направления,Эскалация если локально вопрос не решен,куратор направления,Что уже сделано и какой результат нужен,закрытая Google Таблица,Высокая,CHECK,
