ID,Группа контактов,Что проверять,Как проверять,Периодичность,Роль,Артефакт результата,Критичность,Статус,Комментарий
CVF-0001,Кураторы ЦО,ФИО роль канал связи и замещающий контакт,Сверить с закрытой таблицей и руководителем направления,Ежемесячно,менеджер,закрытая Google Таблица,Высокая,CHECK,Публично не хранить ФИО и контакты
CVF-0002,Городские службы,Телефон адрес график приема и услугу,Сверить с официальным сайтом или звонком,Ежемесячно,администратор базы,закрытая Google Таблица,Высокая,CHECK,Публичный источник фиксировать без персональных данных
CVF-0003,Управляющие компании,Телефон диспетчерской адрес и зона обслуживания,Сверить с сайтом ГИС ЖКХ или звонком,Ежемесячно,администратор базы,закрытая Google Таблица,Высокая,CHECK,
CVF-0004,Энергосбыт и коммунальные услуги,Телефон лицевой счет не хранить график и адрес,Сверить с официальным сайтом и публичной справкой,Ежемесячно,администратор базы,закрытая Google Таблица,Высокая,CHECK,Не хранить данные клиентов
CVF-0005,МФЦ и администрация,Отдел услуга адрес график предварительная запись,Сверить с официальным сайтом,Ежемесячно,администратор базы,закрытая Google Таблица,Средняя,CHECK,
CVF-0006,Росреестр и кадастровые вопросы,Канал обращения график и актуальные ограничения,Сверить с официальным сайтом,Ежемесячно,администратор базы,закрытая Google Таблица,Средняя,CHECK,
CVF-0007,Нотариусы,ФИО адрес телефон график и специализацию,Сверить с публичным реестром или звонком,Ежемесячно,СПН,закрытая Google Таблица,Высокая,CHECK,Если контакт не публичный хранить только закрыто
CVF-0008,Кадастровые инженеры,ФИО телефон услуги и зона работы,Сверить с реестром или подтверждением специалиста,Ежемесячно,СПН,закрытая Google Таблица,Высокая,CHECK,
CVF-0009,Оценщики,Компания телефон сроки и требования банков,Сверить с банком или оценочной компанией,Ежемесячно,брокер,закрытая Google Таблица,Высокая,CHECK,
CVF-0010,Подрядчики,Телефон тип работ и статус рекомендации,Подтвердить у менеджера и последних пользователей,Ежемесячно,менеджер,закрытая Google Таблица,Средняя,CHECK,Оценочные комментарии по людям не публиковать
CVF-0011,Банки и ипотека,Контакты представителей и условия взаимодействия,Сверить с брокером и актуальными каналами банка,Еженедельно,брокер,закрытая Google Таблица,Высокая,CHECK,Условия банков могут меняться часто
CVF-0012,Архивные контакты,Причина архивации и дата последней проверки,Проверить что контакт не используется,Ежеквартально,администратор базы,закрытая Google Таблица,Средняя,CHECK,
