ID,Раздел,Каких данных не хватает,Зачем нужны,Где проверить,Кто отвечает,Приоритет,Статус,Комментарий
MISS-0001,Государственные органы,Актуальные телефоны адреса и графики,Чтобы сотрудники могли быстро направить клиента,Официальные сайты и звонок,Ответственный за раздел,5,CHECK,
MISS-0002,Банки,Актуальные ипотечные контакты и требования,Чтобы не давать устаревшие условия,Брокер и банки,Ипотечный брокер,5,CHECK,
MISS-0003,Нотариусы,Список проверенных нотариусов и специализация,Чтобы понимать к кому направлять по сложным вопросам,Юрист и практика офиса,Юрист,4,CHECK,
MISS-0004,Кадастровые инженеры,Проверенные исполнители по видам работ,Чтобы быстро решать вопросы по земле и техпланам,Практика офиса,Ответственный за раздел,4,CHECK,
MISS-0005,Оценщики,Аккредитация по банкам и сроки,Чтобы не отправлять клиента к неподходящему оценщику,Ипотечный брокер,Ипотечный брокер,4,CHECK,
MISS-0006,ЖКХ и УК,Контакты и зоны обслуживания,Чтобы быстро находить справки и аварийные контакты,Звонки и сайты организаций,Администратор,4,CHECK,
MISS-0007,Подрядчики,Проверенные цены сроки и качество,Чтобы рекомендовать только надёжных исполнителей,Практика сотрудников,Ответственный за раздел,3,CHECK,
MISS-0008,Новостройки,Подтверждённые цены сроки договоры,Чтобы не публиковать неподтверждённые условия,Застройщик менеджер юрист,Менеджер,5,CHECK,
MISS-0009,Практика,Локальные советы Борисоглебска,Чтобы база была полезнее типовой инструкции,Опыт сотрудников,Все сотрудники,4,CHECK,
MISS-0010,FAQ,Вопросы из реальных обращений,Чтобы закрывать повторяющиеся вопросы,Чаты планёрки звонки,Ответственный за базу,3,CHECK,
