ID,Роль,Блок обучения,Что должен уметь,Практическое задание,Артефакт,Критичность,Статус,Блокирует запуск,Комментарий
TRN-0001,менеджер,Обзор проекта,Понимать текущее состояние базы,Открыть dashboard и назвать 3 ближайших действия,build/manager-dashboard.md,Высокая,CHECK,yes,
TRN-0002,менеджер,Запуск,Понимать что блокирует запуск,Открыть чек-лист запуска и найти блокирующие задачи,build/office-launch-checklist-report.md,Высокая,CHECK,yes,
TRN-0003,менеджер,Ответственность,Назначать владельцев разделов,Открыть отчет ответственности и выбрать критичные зоны,build/section-ownership-report.md,Высокая,CHECK,yes,
TRN-0004,менеджер,Эксплуатация,Поддерживать регулярный ритм проверок,Открыть регламент эксплуатации и определить задачи недели,build/operating-rhythm-report.md,Высокая,CHECK,yes,
TRN-0005,СПН,Навигация,Находить стартовые разделы для своей роли,Открыть ролевую навигацию и найти свой маршрут,build/role-navigation-report.md,Высокая,CHECK,yes,
TRN-0006,СПН,Ситуации,Находить типовую ситуацию и связанный документ,Открыть HTML-превью и найти раздел ситуаций,build/html-preview/index.html,Средняя,CHECK,no,
TRN-0007,СПН,Обратная связь,Предлагать исправление без хаоса в чатах,Открыть очередь изменений и понять поля заявки,build/change-request-report.md,Средняя,CHECK,no,
TRN-0008,юрист,Юридические разделы,Проверять документы и ситуации до запуска,Открыть ролевую навигацию юриста и отметить зоны проверки,build/role-navigation-report.md,Высокая,CHECK,yes,
TRN-0009,юрист,Качество данных,Отличать черновик от проверенной записи,Открыть отчет готовности и найти CHECK/DRAFT,build/launch-readiness-report.md,Высокая,CHECK,yes,
TRN-0010,брокер,Ипотечные черновики,Понимать что нельзя использовать без проверки,Открыть отчет актуальности и найти банковские разделы,build/data-freshness-report.md,Высокая,CHECK,yes,
TRN-0011,брокер,Подсказки будущей сделки,Понимать будущие сигналы сделки,Открыть отчет сигналов и аудитории подсказок,build/deal-signal-report.md,Средняя,CHECK,no,
TRN-0012,администратор базы,Импорт,Переносить CSV в закрытую Google Таблицу,Открыть план импорта и назвать порядок переноса,build/import-plan.md,Высокая,CHECK,yes,
TRN-0013,администратор базы,Структура таблицы,Настраивать листы и фильтры,Открыть план листов и план валидаций,build/google-sheet-tabs-plan.md,Высокая,CHECK,yes,
TRN-0014,администратор базы,Проверки,Запускать полный preflight после изменений,Открыть preflight-сводку и проверить артефакты,build/preflight-summary.md,Высокая,CHECK,yes,
TRN-0015,все роли,Безопасность,Понимать что нельзя хранить публично,Открыть privacy checklist и назвать запрещенные данные,docs/privacy-review-checklist.md,Высокая,CHECK,yes,
