ID,Этап,Задача,Ответственный,Артефакт,Критичность,Статус,Блокирует запуск,Комментарий
OLC-0001,Подготовка,Проверить управленческую сводку,менеджер,build/manager-dashboard.md,Высокая,CHECK,yes,
OLC-0002,Подготовка,Проверить навигацию по ролям,менеджер,build/role-navigation-report.md,Средняя,CHECK,no,
OLC-0003,Подготовка,Проверить владельцев критичных разделов,менеджер,build/section-ownership-report.md,Высокая,CHECK,yes,
OLC-0004,Подготовка,Проверить готовность разделов,менеджер,build/launch-readiness-report.md,Высокая,CHECK,yes,
OLC-0005,Подготовка,Проверить актуальность контактов,менеджер,build/data-freshness-report.md,Высокая,CHECK,yes,
OLC-0006,Подготовка,Проверить открытые предложения сотрудников,менеджер,build/change-request-report.md,Средняя,CHECK,no,
OLC-0007,Google Таблица,Создать закрытую рабочую Google Таблицу,менеджер,build/google-sheet-tabs-plan.md,Высокая,CHECK,yes,
OLC-0008,Google Таблица,Настроить листы и фильтры,администратор базы,build/google-sheet-tabs-plan.md,Высокая,CHECK,yes,
OLC-0009,Google Таблица,Настроить выпадающие списки,администратор базы,build/google-sheet-validation-plan.md,Средняя,CHECK,no,
OLC-0010,Google Таблица,Настроить оформление статусов,администратор базы,build/google-sheet-formatting-plan.md,Средняя,CHECK,no,
OLC-0011,Данные,Перенести публично безопасные черновики,администратор базы,build/import-plan.md,Высокая,CHECK,yes,
OLC-0012,Данные,Внести реальные рабочие контакты только в закрытую таблицу,менеджер,docs/privacy-review-checklist.md,Высокая,CHECK,yes,
OLC-0013,Тест,Провести тест на 2-3 сотрудниках,менеджер,docs/v0.2-to-v0.3-workflow.md,Высокая,CHECK,yes,
OLC-0014,Тест,Пройти приемочные сценарии по ролям,менеджер,build/office-acceptance-test-report.md,Высокая,CHECK,yes,
OLC-0015,Тест,Провести обучение по ролям,менеджер,build/role-training-report.md,Высокая,CHECK,yes,
OLC-0016,Тест,Собрать замечания сотрудников,менеджер,data/drafts/test-results-template.csv,Средняя,CHECK,no,
OLC-0017,Тест,Закрыть критичные замечания,менеджер,data/drafts/quality-issues-template.csv,Высокая,CHECK,yes,
OLC-0018,Запуск,Провести короткое обучение по ролям,менеджер,docs/role-navigation.md,Высокая,CHECK,yes,
OLC-0019,Запуск,Назначить реальных ответственных в закрытой таблице,менеджер,data/drafts/section-ownership-matrix.csv,Высокая,CHECK,yes,
OLC-0020,Запуск,Утвердить регламент эксплуатации после запуска,менеджер,build/operating-rhythm-report.md,Высокая,CHECK,yes,
OLC-0021,Запуск,Проверить итог GO/NO-GO,менеджер,build/go-no-go-report.md,Высокая,CHECK,yes,
OLC-0022,Запуск,Зафиксировать решение запуска,менеджер,build/launch-decision-log.md,Высокая,CHECK,yes,
OLC-0023,Запуск,Проверить единый пакет запуска,менеджер,build/office-launch-packet.md,Высокая,CHECK,yes,
OLC-0024,Запуск,Определить канал для предложений сотрудников,менеджер,data/drafts/change-request-queue.csv,Средняя,CHECK,no,
OLC-0025,После запуска,Проверить использование через неделю,менеджер,build/usage-metrics-report.md,Средняя,CHECK,no,
