ID,Группа контактов,Поле закрытой таблицы,Обязательность,Для кого,Пример значения,Можно хранить публично,Комментарий
PCR-0001,Кураторы ЦО,ФИО куратора,Обязательно,менеджер,Иванов Иван,нет,Заполнять только в закрытой Google Таблице
PCR-0002,Кураторы ЦО,Департамент или направление,Обязательно,менеджер,Юридический департамент,да,Название направления можно хранить публично
PCR-0003,Кураторы ЦО,Роль куратора,Обязательно,менеджер,куратор юридического блока,да,Без ФИО и контактов
PCR-0004,Кураторы ЦО,Рабочий телефон,Обязательно,менеджер,+7...,нет,Не публиковать в репозитории
PCR-0005,Кураторы ЦО,Рабочая почта,Желательно,менеджер,name@example.ru,нет,Не публиковать в репозитории
PCR-0006,Кураторы ЦО,Мессенджер или чат,Желательно,менеджер,внутренний чат,нет,Не публиковать в репозитории
PCR-0007,Кураторы ЦО,Замещающий контакт,Желательно,менеджер,ФИО замещающего,нет,Заполнять только в закрытом контуре
PCR-0008,Городские службы,Название организации,Обязательно,СПН и менеджер,Управляющая компания,да,Если данные публичные
PCR-0009,Городские службы,Тип услуги,Обязательно,СПН и менеджер,капремонт или паспортный стол,да,
PCR-0010,Городские службы,Публичный телефон,Желательно,СПН и менеджер,+7...,только если публичный,Нужно проверить источник
PCR-0011,Городские службы,Адрес приема,Желательно,СПН и менеджер,город адрес,только если публичный,Нужно проверить актуальность
PCR-0012,Городские службы,График работы,Желательно,СПН и менеджер,пн-пт,только если публичный,Нужно регулярно проверять
PCR-0013,Подрядчики,ФИО или название,Обязательно,менеджер,подрядчик или компания,нет,В публичном репозитории не хранить
PCR-0014,Подрядчики,Тип работ,Обязательно,СПН и менеджер,оценка ремонт замер,да,Без контактов
PCR-0015,Подрядчики,Телефон,Обязательно,СПН и менеджер,+7...,нет,Только закрытая таблица
PCR-0016,Подрядчики,Комментарий по качеству,Желательно,менеджер,проверенный подрядчик,нет,Не публиковать оценочные комментарии по людям
PCR-0017,Нотариусы и инженеры,ФИО или организация,Обязательно,СПН и менеджер,специалист,только если публичный,Проверять источник
PCR-0018,Нотариусы и инженеры,Услуга,Обязательно,СПН и менеджер,нотариус кадастровый инженер,да,
PCR-0019,Нотариусы и инженеры,Контакты,Желательно,СПН и менеджер,+7...,только если публичный,Если сомнение — хранить только закрыто
PCR-0020,Все группы,Дата проверки,Обязательно,администратор базы,2026-06-28,да,Дата проверки без персональных данных
PCR-0021,Все группы,Следующая проверка,Обязательно,администратор базы,2026-07-28,да,
PCR-0022,Все группы,Ответственный за актуальность,Обязательно,менеджер,администратор базы,да,Роль без ФИО
PCR-0023,Все группы,Статус,Обязательно,все роли,CHECK,да,READY CHECK DRAFT ARCHIVE
PCR-0024,Все группы,Источник,Желательно,администратор базы,сайт или закрытый источник,частично,Ссылки на публичные источники допустимы
