ID,Раздел,Владелец роли,Замещающий,Что контролирует,Периодичность,Источник отчета,Критичность,Статус,Комментарий
OWN-0001,Контакты,менеджер,администратор базы,Актуальность телефонов адресов и графиков,Еженедельно,build/data-freshness-report.md,Высокая,CHECK,
OWN-0002,Городские службы,администратор базы,менеджер,УК ЖКХ энергосбыт капремонт МФЦ администрация,Ежемесячно,build/data-freshness-report.md,Высокая,CHECK,
OWN-0003,Государственные органы,менеджер,администратор базы,МФЦ Росреестр администрация паспортные вопросы,Ежемесячно,build/data-freshness-report.md,Высокая,CHECK,
OWN-0004,Банки и ипотека,брокер,менеджер,Черновики банковских условий и ссылки на проверку,Еженедельно,build/data-freshness-report.md,Высокая,CHECK,
OWN-0005,Нотариусы,юрист,менеджер,Структура нотариальных контактов и типовые случаи,Ежемесячно,build/data-freshness-report.md,Средняя,CHECK,
OWN-0006,Кадастровые инженеры,менеджер,администратор базы,Список специалистов и статус проверки,Ежемесячно,build/data-freshness-report.md,Средняя,CHECK,
OWN-0007,Документы и шаблоны,юрист,менеджер,Состав документов и ссылки на шаблоны,Ежемесячно,build/schema-report.md,Высокая,CHECK,
OWN-0008,Ситуации по сделкам,менеджер,СПН,Типовые ситуации что делать если,Еженедельно,build/role-navigation-report.md,Высокая,CHECK,
OWN-0009,Практика и ошибки,менеджер,СПН,Локальная практика офиса и частые ошибки,Ежемесячно,build/role-navigation-report.md,Средняя,CHECK,
OWN-0010,Новостройки,менеджер,СПН,Статус данных по объектам и ограничения публикации,Еженедельно,build/launch-readiness-report.md,Высокая,CHECK,
OWN-0011,Подрядчики,администратор базы,менеджер,Публично безопасная структура подрядчиков,Ежемесячно,build/launch-readiness-report.md,Средняя,CHECK,
OWN-0012,Предложения сотрудников,администратор базы,менеджер,Очередь исправлений и предложений,Еженедельно,build/change-request-report.md,Средняя,CHECK,
OWN-0013,Обучение сотрудников,менеджер,администратор базы,Маршруты ролей сценарии и чек-листы,Ежемесячно,build/role-navigation-report.md,Средняя,CHECK,
OWN-0014,Интеграционные контракты,администратор базы,менеджер,Read-only контракты будущей связки с навигатором,Ежемесячно,build/integration-contract-report.md,Средняя,CHECK,
OWN-0015,Публичная безопасность,менеджер,администратор базы,Отсутствие закрытых данных в репозитории,Перед публикацией,docs/privacy-review-checklist.md,Высокая,CHECK,
