ID,Название источника,Формат,Тема,Использовать для,Аудитория,Расположение,Публичность,Право использования,Актуальность,Требует адаптации,Статус,Комментарий
TMR-0001,EVP Борисоглебск,DOCX,Локальное EVP,Найм адаптация удержание,Кандидат; сотрудники,Закрытый Drive,PRIVATE,CHECK,CHECK,yes,CHECK,Проверить цифры обещания и доступность преимуществ в Борисоглебске
TMR-0002,EVP опытные дополнения,DOCX,EVP опытных специалистов,Удержание развитие и найм опытных СПН,Опытный СПН; кандидат,Закрытый Drive,PRIVATE,CHECK,CHECK,yes,CHECK,Использовать как банк гипотез без публикации неподтвержденных цифр
TMR-0003,Шаблон Оценка EVP для Риэлтора,XLSX,Диагностика EVP,Ежегодная оценка EVP офиса,Руководитель; HR,Закрытый Drive,PRIVATE,CHECK,CHECK,yes,CHECK,Добавить доказательства дату владельца и правила оценки
TMR-0004,Чек-лист EVP для Риэлтора 2021,XLSX,Зрелость EVP,Диагностика сильных и слабых сторон работодателя,Руководитель; HR,Закрытый Drive,PRIVATE,CHECK,ARCHIVED,yes,CHECK,Исторический источник требует полной актуализации
TMR-0005,EVP при найме риэлторов,XLSX,Практики городов,Банк идей для локального EVP,Руководитель; рекрутер,Закрытый Drive,PRIVATE,CHECK,CHECK,yes,CHECK,Не переносить условия и обещания других городов автоматически
TMR-0006,Программа EVP Управление исполнением,PDF,Мотивация и удержание,Опросы stay-встречи и работа с командой,Руководитель; МОП,Закрытый Drive,PRIVATE,CHECK,CHECK,yes,CHECK,Выделить короткие инструменты без избыточных опросов
TMR-0007,EVP риэлтора Борисоглебск,PPTX,Презентация EVP,Кандидатская презентация и адаптация,Кандидат; новичок,Закрытый Drive,PRIVATE,CHECK,CHECK,yes,CHECK,Проверить все формулировки и сократить до релевантных доказательств
TMR-0008,EVP как инструмент притяжения,PDF,HR-бренд и сегменты кандидатов,Разработка сценариев найма,Рекрутер; руководитель,Закрытый Drive,PRIVATE,RESTRICTED_COPY,CHECK,yes,CHECK,Материал содержит запрет копирования и не переносится в публичный репозиторий
TMR-0009,Презентация о компании для кандидата 2025,Google Slides,Кандидатская презентация,Собеседование и preboarding,Кандидат,Закрытый Drive,PRIVATE,CHECK,CHECK,yes,CHECK,Сверить с локальными условиями и текущим EVP
TMR-0010,Дресс-код и мотивация риелторов 2025,Google Slides,Имидж и мотивация,Первый день и правила представления бренда,Новичок; СПН,Закрытый Drive,PRIVATE,CHECK,CHECK,yes,CHECK,Проверить соответствие текущим правилам офиса и недискриминационность формулировок
TMR-0011,Книга продаж,PDF,Продажи и стандарты,Методический источник для модулей продавца покупателя цены показа задатка и сделки,Новичок; СПН; МОП,Закрытый Drive,PRIVATE,CHECK,ARCHIVED,yes,CHECK,Исторический материал не считать действующим регламентом
TMR-0012,Знакомство с профессией риэлтора,PPTX,Профессия этика и безопасность,Первый день и вводный модуль,Новичок,Закрытый Drive,PRIVATE,CHECK,CHECK,yes,CHECK,Заменить устаревшие сервисы цифры и каналы связи
TMR-0013,УТП компании Этажи,Google Sheet,Каталог УТП,Локальная проверка и сбор клиентских аргументов,СПН; МОП,Закрытый Drive,PRIVATE,CHECK,CHECK,yes,CHECK,Создать короткую полную и запрещенную формулировку для каждого УТП
TMR-0014,Копия УТП компании,PPTX,УТП и выгоды,Ролевки и адаптация,Новичок; СПН,Закрытый Drive,PRIVATE,CHECK,ARCHIVED,yes,CHECK,Много исторических и городских цифр требует проверки
TMR-0015,УТП Продавцу,PDF,Презентация услуги продавцу,Звонок встреча и работа с возражениями,Новичок; СПН,Закрытый Drive,PRIVATE,CHECK,CHECK,yes,CHECK,Сохранить логику проблема решение выгода и сократить формулировки
TMR-0016,УТП Покупателю,PDF,Презентация услуги покупателю,Звонок встреча подбор и возражения,Новичок; СПН,Закрытый Drive,PRIVATE,CHECK,CHECK,yes,CHECK,Проверить размер гарантий и локальную доступность сервисов
TMR-0017,Ценность риелтора и риелторской услуги,PDF,Ценность специалиста,Позиционирование и клиентская презентация,Кандидат; новичок; СПН,Закрытый Drive,PRIVATE,CHECK,CHECK,yes,CHECK,Декомпозировать на конкретные действия и выгоды
TMR-0018,Преимущества компании Этажи,PDF,Сервисы и обучение,Навигация по корпоративным ресурсам,Новичок; СПН,Закрытый Drive,PRIVATE,CHECK,CHECK,yes,CHECK,Проверить ссылки и удалить недоступные ресурсы
TMR-0019,УТП компании Этажи Красноярск 2022,PPTX,Городская практика УТП,Банк идей для локального каталога,МОП; маркетолог,Закрытый Drive,PRIVATE,CHECK,ARCHIVED,yes,CHECK,Не использовать цены скидки и лидерские заявления Красноярска в Борисоглебске
TMR-0020,Рабочая тетрадь Быстрый старт СПН,DOCX,Первый месяц обучения,Источник практических заданий и ролевок,Новичок; МОП; наставник,Закрытый Drive,PRIVATE,CHECK,CHECK,yes,CHECK,Не переносить целиком заменить РИЕС и Echat на Космос убрать лишнюю отчетность
