ID,Этап,Аудитория,Цель,Ожидаемый результат,Контрольная точка,Источник факта,Приоритет,Статус
TST-0001,Кандидат,Кандидат,Сформировать реалистичное представление о профессии и работодателе,Понимает модель дохода нагрузки поддержки и требований,До решения о найме,Собеседование и подтвержденная EVP-карта,5,CHECK
TST-0002,Preboarding,Принятый кандидат,Подготовить сотрудника к выходу без перегрузки,Знает дату формат первого дня и что подготовить,За 1-3 дня до выхода,Закрытая учебная таблица,4,CHECK
TST-0003,Первый день,Новичок,Дать безопасный вход в офис инструменты и маршрут,Может войти в Космос открыть базу и назвать следующий шаг,Конец первого дня,Наблюдение МОП и тестовый вход,5,CHECK
TST-0004,Первая неделя,Новичок,Освоить базовый контакт с продавцом и покупателем,Проводит контакт по структуре и корректно фиксирует результат,Конец первой недели,Космос и ролевая практика,5,CHECK
TST-0005,Первый месяц,Новичок,Освоить минимальный полный цикл работы под сопровождением,Умеет работать с заявкой объектом подборкой встречей показом и передачей профильному специалисту,Конец четвертой недели,Космос и наблюдение сопровождающего,5,CHECK
TST-0006,Второй-третий месяц,СПН 2-3 месяца,Стабилизировать воронку и качество следующего шага,Понимает слабый переход и выполняет план улучшения,Еженедельно и в конце месяца,Отчеты Космоса и разбор с МОП,5,CHECK
TST-0007,Четвертый-шестой месяц,СПН 4-6 месяцев,Перейти к устойчивой самостоятельной работе,Управляет клиентами ценой сроками и несколькими сделками без потери контроля,Ежемесячно,Космос и разбор кейсов,5,CHECK
TST-0008,Развитие 6+,СПН 6+ месяцев,Стабилизировать результат и выбрать профессиональную траекторию,Развивает экспертность источники доход и устойчивость,Раз в 8 недель,Космос и индивидуальный план развития,4,CHECK
TST-0009,Наставничество,Кандидат в наставники,Проверить способность развивать другого сотрудника,Проводит практику дает обратную связь и не подменяет МОП,После пробного цикла 2-4 недели,Наблюдение МОП и результаты подопечного,4,CHECK
TST-0010,Управление обучением,МОП и руководитель,Управлять маршрутами блокерами и актуальностью,Принимает решения по фактам без лишней отчетности,Ежемесячно,Дашборд обучения и Космос,5,CHECK
TST-0011,EVP и удержание,Все сотрудники по стажу,Выявлять разрывы ожиданий мотивацию и риски ухода,Есть конкретный план поддержки или развития,30 60 90 дней и далее ежеквартально,Stay-встреча и индивидуальный план,4,CHECK
