ID,Контрольная точка,Аудитория,Что проверяется,Формат проверки,Минимальный результат,Доказательство,Кто проверяет,Следующее решение,Публичность,Статус,Комментарий
TAS-0001,До решения о найме,Кандидат,Реалистичность ожиданий мотиваторы и понимание модели профессии,Короткое резюме кандидата и встречный вопрос,Называет возможности риски и личную ответственность,Закрытая карточка собеседования,Руководитель или рекрутер,Продолжить отложить или отказать,PRIVATE,CHECK,Не хранить чувствительные ответы в публичном контуре
TAS-0002,Перед выходом,Принятый кандидат,Готовность к первому дню и корректность обещаний,Чек-лист preboarding,Дата формат контакты и подготовка подтверждены,Закрытая учебная таблица,МОП или рекрутер,Подтвердить выход или снять блокер,PRIVATE,CHECK,
TAS-0003,Конец первого дня,Новичок,Ориентация в офисе Космосе и базе знаний,Три практических действия,Входит в системы находит ответ и называет следующий шаг,Тестовая запись и наблюдение,МОП,Допустить к маршруту первой недели или оказать помощь,PRIVATE,CHECK,
TAS-0004,Конец первой недели,Новичок,Первичный контакт продавца и покупателя ценность услуги и фиксация результата,Две ролевки и выборочная проверка рабочего действия,Нет критической ошибки есть договоренность и следующий шаг,Действия в Космосе и чек-лист наблюдения,МОП или наставник,Продолжить практику или повторить отдельный модуль,PRIVATE,CHECK,Не оценивать только количество звонков
TAS-0005,Конец второй недели,Новичок,Заявка объект подборка встреча и показ,Практический кейс по продавцу и покупателю,Может выполнить базовый маршрут под сопровождением,Космос и наблюдение,МОП,Допустить к большей самостоятельности или назначить поддержку,PRIVATE,CHECK,
TAS-0006,Конец первого месяца,Новичок,Минимальный цикл работы безопасность и маршрутизация,Разбор двух реальных или безопасных тестовых кейсов,Обязательные модули подтверждены критические ошибки отсутствуют,Космос и закрытая карта обучения,МОП и профильные специалисты,Перевести на маршрут 2-3 месяца или продлить адаптацию,PRIVATE,CHECK,
TAS-0007,Конец второго месяца,СПН 2-3 месяца,Воронка качество следующего шага и работа без хаоса,Разбор одного слабого перехода,Причина подтверждена фактами есть план на две недели,Агрегированные данные Космоса,МОП,Сохранить план изменить поддержку или повторить модуль,PRIVATE,CHECK,
TAS-0008,Конец третьего месяца,СПН 2-3 месяца,Стабильность базовых процессов прогноз и источник клиентов,Разбор месяца и одного кейса,СПН объясняет результат и самостоятельно планирует ближайший цикл,Космос и индивидуальный план,МОП,Перевести на маршрут 4-6 месяцев или оставить усиленный контроль,PRIVATE,CHECK,
TAS-0009,Конец шестого месяца,СПН 4-6 месяцев,Самостоятельность качество сделок и выбранная траектория,Комплексный разбор воронки кейсов и компетенций,Нет повторяющихся критических ошибок есть устойчивый следующий шаг и план развития,Космос и профильные подтверждения,МОП или руководитель,Перевести на маршрут 6+ определить специализацию или наставничество,PRIVATE,CHECK,
TAS-0010,Итог восьминедельного цикла,СПН 6+ месяцев,Главная цель цикла устойчивость экономика и развитие,Короткий итоговый разбор,Есть измеримый результат либо проверенный вывод и новый план,Космос и индивидуальный план,МОП или руководитель,Начать новый цикл изменить траекторию или подключить поддержку,PRIVATE,CHECK,
TAS-0011,Итог пробного наставничества,Кандидат в наставники,Качество наблюдения практики обратной связи и границ роли,Разбор одного цикла подопечного,Подопечный стал самостоятельнее риски эскалированы корректно,Действия подопечного и наблюдение МОП,Руководитель,Назначить наставником продлить пилот или отказать,PRIVATE,CHECK,
TAS-0012,Ежемесячная калибровка,МОП и руководитель,Единые критерии допуска блокеры и актуальность материалов,Разбор трех спорных точек,Есть решения владельцы сроки и уровень изменения,Закрытый дашборд обучения,Руководитель,Утвердить изменения назначить пилот или оставить без изменений,PRIVATE,CHECK,
TAS-0013,Stay-встреча 30 дней,Новичок,Разрыв ожиданий поддержка и первые препятствия,Разговор 15-20 минут,Есть один приоритетный барьер и решение,Закрытая заметка без клиентских данных,МОП,Изменить поддержку обучение или рабочий маршрут,PRIVATE,CHECK,
TAS-0014,Stay-встреча 60 дней,СПН 2-3 месяца,Мотивация прогресс доход и качество управления,Разговор 20 минут,Есть конкретный план по главному препятствию,Закрытая заметка,МОП или руководитель,Продолжить план подключить помощь или провести углубленный разбор,PRIVATE,CHECK,
TAS-0015,Stay-встреча 90 дней,СПН 2-3 месяца,Совпадение ожиданий и реальности профессиональная перспектива,Разговор 20-30 минут,Понятны мотиваторы риски и следующий этап развития,Закрытая заметка и индивидуальный план,Руководитель или МОП,Удержание развитие смена маршрута или честное завершение сотрудничества,PRIVATE,CHECK,
