ID,Период,Задача,Роль,Артефакт,Критичность,Статус,Блокирует стабильность,Комментарий
OPR-0001,Ежедневно,Проверить новые предложения сотрудников,администратор базы,build/change-request-report.md,Средняя,CHECK,no,
OPR-0002,Ежедневно,Проверить критичные замечания по запуску,менеджер,build/office-launch-checklist-report.md,Высокая,CHECK,yes,
OPR-0003,Еженедельно,Проверить управленческую сводку,менеджер,build/manager-dashboard.md,Высокая,CHECK,yes,
OPR-0004,Еженедельно,Проверить актуальность контактов и городских служб,администратор базы,build/data-freshness-report.md,Высокая,CHECK,yes,
OPR-0005,Еженедельно,Проверить владельцев критичных разделов,менеджер,build/section-ownership-report.md,Высокая,CHECK,yes,
OPR-0006,Еженедельно,Проверить ипотечные и банковские черновики,брокер,build/data-freshness-report.md,Высокая,CHECK,yes,
OPR-0007,Еженедельно,Проверить новые вопросы сотрудников,менеджер,build/change-request-report.md,Средняя,CHECK,no,
OPR-0008,Ежемесячно,Проверить юридические документы и ситуации,юрист,build/role-navigation-report.md,Высокая,CHECK,yes,
OPR-0009,Ежемесячно,Проверить структуру Google Таблицы,администратор базы,build/google-sheet-tabs-plan.md,Средняя,CHECK,no,
OPR-0010,Ежемесячно,Проверить синонимы поиска,администратор базы,data/dictionaries/search-synonyms.csv,Средняя,CHECK,no,
OPR-0011,Ежемесячно,Проверить правила будущей интеграции,администратор базы,build/integration-contract-report.md,Средняя,CHECK,no,
OPR-0012,Ежемесячно,Проверить публичную безопасность данных,менеджер,docs/privacy-review-checklist.md,Высокая,CHECK,yes,
OPR-0013,Ежеквартально,Пересмотреть приемочные сценарии офиса,менеджер,build/office-acceptance-test-report.md,Средняя,CHECK,no,
OPR-0014,Ежеквартально,Пересмотреть план обучения сотрудников,менеджер,build/role-training-report.md,Средняя,CHECK,no,
OPR-0015,Ежеквартально,Пересмотреть роли и доступы будущей интеграции,менеджер,build/integration-access-report.md,Средняя,CHECK,no,
OPR-0016,После изменения структуры,Запустить полный preflight,администратор базы,build/preflight-summary.md,Высокая,CHECK,yes,
OPR-0017,После изменения структуры,Обновить обучение по измененным разделам,менеджер,build/role-training-report.md,Высокая,CHECK,yes,
OPR-0018,Еженедельно,Разобрать еженедельный дайджест менеджера,менеджер,build/weekly-manager-digest.md,Высокая,CHECK,yes,
OPR-0019,Еженедельно,Назначить ответственных по реестру управленческих действий,менеджер,build/manager-action-register.md,Высокая,CHECK,yes,
OPR-0020,Ежемесячно,Проверить маршруты к департаментам центрального офиса,менеджер,build/department-routing-report.md,Высокая,CHECK,yes,Реальные контакты проверять только в закрытой таблице
OPR-0021,Ежемесячно,Проверить схему закрытого реестра контактов,администратор базы,build/private-contact-schema-report.md,Высокая,CHECK,yes,Контакты и ФИО хранить только в закрытой таблице
OPR-0022,Ежемесячно,Проверить выполнение регламента актуализации контактов,администратор базы,build/contact-verification-report.md,Высокая,CHECK,yes,Результаты проверки фиксировать только в закрытой таблице
OPR-0023,Ежемесячно,Проверить уровни доверия новых и измененных записей,администратор базы,build/source-trust-report.md,Высокая,CHECK,yes,Записи без уровня доверия не считать готовыми к запуску
OPR-0024,Ежемесячно,Проверить жизненный цикл записей и просроченные статусы,администратор базы,build/record-lifecycle-report.md,Высокая,CHECK,yes,Рабочими считать только записи READY без просрочки
