ID,Тип,Категория,Название,Краткое описание,Когда нужен,Где получить,Кто обычно проверяет,Срок действия,Частые ошибки,Связанные контакты,Связанные ситуации,Приоритет,Статус,Источник,Последняя проверка
DOC-0001,Документ,Документы,Выписка ЕГРН,Сведения об объекте недвижимости и зарегистрированных правах,Проверка объекта перед рекламой авансом ипотекой и сделкой,Росреестр МФЦ онлайн-сервисы,СПН юрист,Зависит от цели использования,"Берут старую выписку; не проверяют обременения; не сверяют площадь адрес и собственников",ORG-0301; ORG-0302,SIT-0002; SIT-0003,5,CHECK,Официальный источник,
DOC-0002,Документ,Документы,Правоустанавливающий документ,Документ-основание возникновения права собственности,Проверка юридической истории объекта,У собственника архив нотариус суд Росреестр,Юрист СПН,Бессрочно,"Не выясняют точное основание права; не проверяют цепочку переходов; путают договор и свидетельство",ORG-0301; ORG-0308,SIT-0002,5,CHECK,Внутренняя база,
DOC-0003,Документ,Документы,Паспорт собственника,Основной документ участника сделки,Любая сделка доверенность заявление регистрация,У собственника,СПН юрист банк,До окончания срока действия,"Не сверяют дату выдачи; не проверяют смену фамилии; используют неактуальные данные",ORG-0309,SIT-0003,5,CHECK,Внутренняя база,
DOC-0004,Документ,Документы,Согласие супруга,Нотариальное согласие супруга на сделку,Если имущество приобретено в браке и требуется согласие,Нотариус,Юрист нотариус банк,Зависит от текста согласия,"Не проверяют брачный статус; не учитывают дату приобретения; оформляют согласие не на те условия",ORG-0500,SIT-0004,5,CHECK,Внутренняя база,
DOC-0005,Документ,Документы,Доверенность,Документ для представления интересов участника сделки,Если участник не может лично подписывать или подавать документы,Нотариус,Юрист банк МФЦ,До даты указанной в доверенности,"Нет нужных полномочий; истёк срок; не указана регистрация сделки; нет права получать деньги",ORG-0500,SIT-0005,5,CHECK,Внутренняя база,
DOC-0006,Документ,Документы,Справка о зарегистрированных лицах,Сведения о лицах зарегистрированных в объекте,Перед авансом сделкой и передачей квартиры,УК паспортный учёт МФЦ в зависимости от ситуации,СПН юрист,Лучше получать ближе к сделке,"Не проверяют временно зарегистрированных; забывают про несовершеннолетних; получают слишком рано",ORG-0309; ORG-0900,SIT-0006,5,CHECK,Внутренняя база,
DOC-0007,Документ,Документы,Разрешение органов опеки,Разрешение на сделку с имуществом несовершеннолетнего,Если среди собственников есть дети или подопечные,Органы опеки,Юрист СПН,По условиям разрешения,"Сначала берут аванс а потом идут в опеку; не готовят документы на встречный объект",ORG-0305,SIT-0001,5,CHECK,Внутренняя база,
DOC-0008,Документ,Документы,Технический паспорт,Техническое описание объекта,В отдельных сделках ипотеке перепланировке старых объектах,БТИ,СПН юрист банк,Зависит от требования банка или органа,"Заказывают без необходимости; путают с техпланом; не проверяют перепланировку",ORG-0303,SIT-0007,3,CHECK,Внутренняя база,
DOC-0009,Документ,Документы,Кадастровый номер,Уникальный номер объекта недвижимости,Для проверки объекта рекламы выписки и сделки,ЕГРН документы собственника публичные сервисы,СПН юрист,Бессрочно,"Ошибаются в цифрах; используют номер соседнего объекта; не сверяют адрес",ORG-0301,SIT-0003,5,CHECK,Внутренняя база,
DOC-0010,Документ,Документы,Акт приёма-передачи,Документ подтверждающий передачу объекта,После регистрации или по условиям договора,Готовится сторонами или юристом,Юрист СПН,Бессрочно,"Подписывают до расчётов без понимания рисков; не фиксируют состояние объекта",TMP-0010,SIT-0008,5,CHECK,Внутренняя база,
