code,name,description
ORG,Организация,Государственная муниципальная коммерческая или внутренняя организация
CNT,Контакт,Контактное лицо внутри организации или партнёрской структуры
DOC,Документ,Документ который нужен для сделки проверки или консультации
INS,Инструкция,Пошаговое описание рабочего действия
ALG,Алгоритм,Последовательность этапов сделки или процесса
TMP,Шаблон,Шаблон документа сообщения заявления или чек-листа
SIT,Ситуация,Типовая рабочая ситуация риэлтора
SRV,Сервис,Онлайн-сервис или внешний сайт
PRC,Практика,Практическая заметка сотрудника
BNK,Банк,Банк ипотечный продукт или банковский контакт
PTR,Партнёр,Оценщик кадастровый инженер подрядчик или другой партнёр
DEV,Новостройка,Новостройка жилой комплекс или объект застройщика
FAQ,Вопрос-ответ,Краткий ответ на частый рабочий вопрос
