ID,Сигнал сделки,Значение,Условие,Связанные ID,Заголовок подсказки,Кому показывать,Приоритет,Статус,Комментарий
DHR-0001,has_children,true,В сделке есть несовершеннолетние собственники или детские доли,SIT-0001; DOC-0007,Детские доли и опека,СПН; юрист; менеджер,5,CHECK,Показывать до аванса и перед подготовкой пакета документов
DHR-0002,has_mortgage,true,В сделке есть ипотека или требуется ипотечное согласование,SIT-0003; DOC-0001,Ипотека и проверка объекта,СПН; брокер; менеджер,5,CHECK,Показывать при первичной проверке и перед задатком
DHR-0003,has_matcap,true,Используется материнский капитал,SIT-0010; DOC-0007,Материнский капитал и доли,СПН; юрист; брокер,5,CHECK,Показывать до согласования условий расчётов
DHR-0004,document_needed,DOC-0006,Нужна справка о зарегистрированных лицах,DOC-0006; SIT-0006,Зарегистрированные лица,СПН; юрист,5,CHECK,Показывать при подготовке к авансу и сделке
DHR-0005,document_needed,DOC-0004,Нужно согласие супруга,DOC-0004; SIT-0004,Согласие супруга,СПН; юрист,5,CHECK,Показывать при проверке основания приобретения
DHR-0006,document_needed,DOC-0005,Сделка или подписание идут по доверенности,DOC-0005; SIT-0005,Доверенность и удалённый продавец,СПН; юрист; менеджер,5,CHECK,Показывать до визита к нотариусу
DHR-0007,risk_signal,перепланировка,Есть признаки перепланировки или расхождения с техническими документами,SIT-0007; DOC-0008,Перепланировка и технические документы,СПН; юрист; брокер,4,CHECK,Показывать при проверке объекта и ипотеке
DHR-0008,stage,transfer,Сделка близка к передаче объекта,SIT-0008; DOC-0010,Передача квартиры после сделки,СПН; менеджер,5,CHECK,Показывать после регистрации или перед подписанием акта
DHR-0009,client_question,tax,Клиент спрашивает про налог при продаже,SIT-0009; DOC-0002,Налог при продаже,СПН; менеджер,4,CHECK,Не заменяет налоговую консультацию
DHR-0010,precheck,object,Объект нужно проверить перед рекламой,SIT-0003; DOC-0001; DOC-0002; DOC-0009,Проверка объекта перед рекламой,СПН; менеджер,5,CHECK,Базовая подсказка для входа объекта в работу
