ID,УТП,Клиент,Потребность,Короткая формулировка до проверки,Что подтвердить,Ограничение применимости,Запрещенная формулировка,Владелец,Источник,Последняя проверка,Статус,Комментарий
UTP-0001,Юридическое сопровождение,Продавец; покупатель,Безопасность,По сделке можно подключить профильного юриста компании,Состав услуги этапы стоимость и доступность после сделки,Объем зависит от договора типа сделки и локального регламента,Полностью бесплатное сопровождение любой сделки без ограничений,Юрист,TMR-0013; TMR-0015; TMR-0016,,CHECK,
UTP-0002,Гарантия безопасности сделки,Покупатель,Безопасность,Для подходящих сделок могут действовать предусмотренные компанией меры юридической и финансовой защиты,Виды объектов условия исключения размер и текст сертификата,Применяется не ко всем объектам и только при выполнении условий,Компания вернет любые деньги при любой проблеме с объектом,Юрист,TMR-0013; TMR-0014; TMR-0016,,CHECK,Не использовать без утвержденной локальной формулировки
UTP-0003,Ипотечное сопровождение,Покупатель,Экономия денег; комфорт,Ипотечный специалист помогает сравнить доступные программы и подготовить заявку,Список банков стоимость услуги порядок подачи и текущие преференции,Решение и ставка зависят от банка клиента объекта и условий программы,Мы гарантированно одобрим ипотеку по ставке ниже банка,Ипотечный специалист,TMR-0013; TMR-0016,,CHECK,
UTP-0004,Новостройки,Покупатель,Выбор; экономия времени,Специалист помогает сравнить доступные новостройки и условия по подтвержденным данным,Партнеры комиссия список ЖК скидки и правила бронирования,Условия различаются по проектам и могут меняться,Любая новостройка всегда без комиссии и дешевле застройщика,Ответственный за новостройки,TMR-0013; TMR-0016,,CHECK,
UTP-0005,Принцип одного окна,Продавец; покупатель,Комфорт,Часть вопросов по сделке можно решить через одну команду и согласованный маршрут,Какие специалисты доступны в офисе и какие услуги оказываются дистанционно,Набор специалистов и услуг зависит от города и сделки,Все специалисты всегда находятся в офисе и решат любой вопрос сразу,Руководитель,TMR-0013; TMR-0015; TMR-0016,,CHECK,
UTP-0006,Аналитика рынка,Продавец; покупатель,Экономия денег; уверенность,Специалист использует доступные рыночные данные для обоснования цены и выбора,Источник данных методика период и ограничения аналитики,Аналитика помогает принять решение но не гарантирует цену и срок,Мы точно знаем цену продажи и гарантируем результат,МОП,TMR-0011; TMR-0013; TMR-0015,,CHECK,
UTP-0007,Продвижение объекта,Продавец,Скорость; комфорт,Специалист готовит карточку объекта и использует согласованные каналы продвижения,Перечень площадок бюджет компенсации требования к контенту и отчетность,Набор каналов зависит от объекта договора и действующих правил,Мы разместим объект везде бесплатно и быстро найдем покупателя,Маркетолог или МОП,TMR-0002; TMR-0015; TMR-0020,,CHECK,
UTP-0008,Межрегиональная сделка,Продавец; покупатель,Комфорт; экономия времени,Компания может организовать взаимодействие с коллегами в другом городе по действующему процессу,Города условия распределение ролей комиссия и порядок передачи,Возможность зависит от присутствия компании и условий конкретного города,Мы проведем любую сделку в любой стране без вашего участия,Ответственный за направление,TMR-0011; TMR-0013,,CHECK,
UTP-0009,Дистанционные сервисы,Продавец; покупатель,Комфорт,Некоторые этапы и документы можно пройти дистанционно по доступному процессу,Какие документы сервисы и типы сделок поддерживаются сейчас,Не каждый этап и не каждая сделка доступны онлайн,Всю сделку можно провести онлайн без визитов и проверок,CRM-владелец и юрист,TMR-0013; TMR-0018,,CHECK,
UTP-0010,Страхование,Покупатель; ипотечный клиент,Экономия денег,Можно сравнить доступные варианты страхования через партнерский канал,Партнеры стоимость скидки обязательность и порядок оформления,Экономия не гарантирована и зависит от параметров клиента и объекта,Страхование всегда в два раза дешевле,Ипотечный специалист,TMR-0013; TMR-0016,,CHECK,
UTP-0011,Программа лояльности,Продавец; покупатель,Экономия денег,Для клиентов могут быть доступны предложения партнеров по действующей программе,Наличие программы партнеры сроки и правила получения,Предложения меняются и могут быть недоступны в городе,Каждый клиент гарантированно получает скидки на все товары и услуги,Маркетолог или руководитель,TMR-0013; TMR-0014,,CHECK,
UTP-0012,Сайт и цифровые инструменты,Продавец; покупатель,Выбор; комфорт,Цифровые инструменты помогают искать варианты обмениваться информацией и отслеживать отдельные этапы,Актуальные функции сайта приложения и личного кабинета,Функциональность различается по региону и типу пользователя,Сайт содержит все объекты рынка и всегда актуален на сто процентов,CRM-владелец или маркетолог,TMR-0013; TMR-0018,,CHECK,
UTP-0013,Профессиональная работа с покупателем,Продавец,Скорость; защита интересов,Специалист квалифицирует покупателей организует показы и ведет переговоры,Стандарт работы договор и фактический процесс офиса,Результат зависит от цены объекта рынка и готовности сторон,Мы приведем только готовых покупателей и продадим в заданный срок,МОП,TMR-0015; TMR-0011,,CHECK,
UTP-0014,Подбор и переговоры,Покупатель,Выбор; экономия денег,Специалист структурирует поиск организует показы и помогает вести аргументированные переговоры,Стандарт подбора договор стоимость и источники объектов,Специалист помогает принять решение но не выбирает вместо клиента,Мы найдем идеальный объект дешевле рынка и гарантируем торг,МОП,TMR-0016; TMR-0011,,CHECK,
