ID,Компетенция,Группа,Описание,Практическое подтверждение,Кто проверяет,Критичность,Статус
TCP-0001,Понимание профессии и EVP,Компания,Понимает модель профессии поддержку компании и личную ответственность,Объясняет реалистичную модель старта без гарантированных обещаний,МОП или руководитель,Высокая,CHECK
TCP-0002,Этика и безопасность,Компания,Соблюдает правила компании приватность и запрет обхода компании,Распознает риск и выбирает правильный маршрут эскалации,МОП или руководитель,Высокая,CHECK
TCP-0003,Работа в Космосе,Инструменты,Корректно ведет операционную работу в единой CRM,Создает тестовую или рабочую запись и фиксирует следующий шаг,МОП,Высокая,CHECK
TCP-0004,Работа с базой знаний,Инструменты,Находит проверенный ответ и связанный материал,Находит ситуацию за 1-3 минуты и проверяет статус актуальности,Ответственный за базу,Средняя,CHECK
TCP-0005,Самоорганизация и календарь,Управление собой,Планирует важные действия и контрольные точки,Показывает рабочую неделю с приоритетами без дублирования CRM,МОП,Средняя,CHECK
TCP-0006,Воронка и экономика,Управление собой,Понимает переходы воронки и связь действий с доходом,Находит слабый переход и формирует одно улучшение,МОП,Высокая,CHECK
TCP-0007,Поиск и привлечение клиентов,Лидогенерация,Использует несколько разрешенных источников клиентов,Проводит качественный контакт и фиксирует результат в Космосе,МОП или наставник,Высокая,CHECK
TCP-0008,Первичный контакт с продавцом,Продавец,Устанавливает контакт квалифицирует ситуацию и договаривается о следующем шаге,Проводит ролевой и затем рабочий звонок по чек-листу,МОП или наставник,Высокая,CHECK
TCP-0009,Встреча с продавцом,Продавец,Выявляет мотив сроки цену и принимает решение по формату работы,Проводит встречу под наблюдением и фиксирует договоренности,МОП или наставник,Высокая,CHECK
TCP-0010,Оценка и работа с ценой,Продавец,Использует аналитику и управляет ожиданиями собственника,Готовит аргументированный ценовой разговор и следующий контроль,МОП,Высокая,CHECK
TCP-0011,Объект и медиаконтент,Продавец,Создает качественную карточку объекта и план продвижения,Создает объект с полным безопасным контентом в Космосе,МОП или ответственный за маркетинг,Высокая,CHECK
TCP-0012,Первичный контакт с покупателем,Покупатель,Выявляет потребность бюджет сроки и способ расчета,Проводит контакт и создает корректную заявку в Космосе,МОП или наставник,Высокая,CHECK
TCP-0013,Подборка и обратная связь,Покупатель,Формирует релевантную подборку и управляет следующим шагом,Отправляет подборку и фиксирует обратную связь в Космосе,МОП или наставник,Высокая,CHECK
TCP-0014,Встреча и показ,Покупатель,Организует маршрут презентует по потребности и получает решение,Проводит показ под наблюдением и фиксирует результат,МОП или наставник,Высокая,CHECK
TCP-0015,Ценность риелтора и УТП,Продажи,Связывает потребность клиента с ценностью услуги и подтвержденным УТП,Делает две короткие презентации для продавца и покупателя,МОП,Высокая,CHECK
TCP-0016,Работа с возражениями,Продажи,Выявляет истинную причину и отвечает без давления и ложных обещаний,Проходит ролевку по пяти типовым возражениям,МОП или наставник,Высокая,CHECK
TCP-0017,Юридическая маршрутизация,Сделка,Распознает юридический риск и вовремя подключает юриста,Формирует структурированный запрос без самостоятельных обещаний,Юрист,Высокая,CHECK
TCP-0018,Ипотечная маршрутизация,Сделка,Собирает базовые вводные и вовремя подключает ипотечного специалиста,Передает достаточный набор данных и фиксирует следующий шаг,Ипотечный специалист,Высокая,CHECK
TCP-0019,Задаток и подготовка сделки,Сделка,Понимает последовательность документов сроков и зон ответственности,Проходит тестовый кейс и не начинает этап без обязательной проверки,Юрист и МОП,Высокая,CHECK
TCP-0020,Сделка и постобслуживание,Сделка,Сопровождает клиента до результата и сохраняет рекомендательный потенциал,Составляет маршрут сделки передачи и контакта после сделки,Юрист или МОП,Высокая,CHECK
TCP-0021,Новостройки,Специализация,Презентует только подтвержденные данные и сравнивает варианты по потребности,Готовит безопасную подборку и отмечает источник условий,Ответственный за новостройки,Высокая,CHECK
TCP-0022,Загородная недвижимость,Специализация,Учитывает документы коммуникации участок дом и ликвидность,Разбирает тестовый объект по чек-листу рисков,Юрист или опытный СПН,Средняя,CHECK
TCP-0023,Межрегиональные сделки,Специализация,Понимает роли городов условия передачи и клиентский маршрут,Описывает следующий шаг и корректно создает обращение,МОП или ответственный за направление,Средняя,CHECK
TCP-0024,Личный бренд и маркетинг,Развитие,Создает полезный контент и развивает доверие без нарушения бренда,Публикует безопасный экспертный материал по утвержденному плану,МОП или маркетолог,Средняя,CHECK
TCP-0025,Устойчивость и антикризисный план,Развитие,Распознает спад и возвращается к управляемым действиям,Формирует план на две недели по слабому переходу и поддержке,МОП,Средняя,CHECK
TCP-0026,Наставничество,Управление,Обучает через практику наблюдение и развивающую обратную связь,Проводит пробный разбор и фиксирует один следующий шаг,МОП или руководитель,Высокая,CHECK
TCP-0027,Управление обучением,Управление,Видит блокеры актуальность и качество прохождения маршрута,Проводит калибровку без дублирования фактов из Космоса,Руководитель,Высокая,CHECK
