ID,Маршрут,Этап,Компетенция,Название,Результат,Практика,Проверка,Источник материалов,Действие в Космосе,Кто сопровождает,Критичность,Публичность,Статус,Комментарий
TMD-0001,TLP-0001,TST-0001,TCP-0001,Реалистичное знакомство с профессией,Кандидат понимает обязанности модель дохода и зависимость результата от действий,Разобрать один типичный месяц новичка и задать вопросы,Кандидат своими словами называет возможности риски и личную ответственность,TMR-0001; TMR-0007; TMR-0012,Не применяется,Руководитель или рекрутер,Высокая,PUBLIC_METADATA,CHECK,Не обещать гарантированный доход
TMD-0002,TLP-0001,TST-0001,TCP-0001,Локальное EVP Борисоглебска,Кандидат понимает реальные преимущества именно офиса Борисоглебска,Выбрать три преимущества под мотив кандидата и подтвердить фактами,Каждое обещание имеет ограничение источник и дату проверки,TMR-0001; TMR-0002; TMR-0003,Не применяется,Руководитель,Высокая,PRIVATE,CHECK,Федеральные преимущества отделять от локальных
TMD-0003,TLP-0001,TST-0002,TCP-0002,Безопасный preboarding,Принятый кандидат знает правила подготовки и конфиденциальности,Пройти короткий чек-лист до выхода,Подтверждены дата выхода доступы и запрет передачи закрытых материалов,TMR-0009,Не применяется,МОП или рекрутер,Средняя,PRIVATE,CHECK,
TMD-0004,TLP-0002,TST-0003,TCP-0001,Компания роли и поддержка,Новичок понимает кто помогает на каждом этапе,Собрать карту ролей офиса по типовым вопросам,Правильно маршрутизирует юридический ипотечный и управленческий вопрос,TMR-0012; TMR-0018,Не применяется,МОП,Высокая,PUBLIC_METADATA,CHECK,
TMD-0005,TLP-0002,TST-0003,TCP-0002,Этика безопасность и работа только через компанию,Новичок распознает опасные предложения и знает порядок отказа,Пройти три ситуационных кейса,Выбирает безопасный ответ и эскалацию без обсуждения обходной сделки,TMR-0012; TMR-0011,Не применяется,МОП или руководитель,Высокая,PRIVATE,CHECK,Формулировки согласовать с действующим регламентом
TMD-0006,TLP-0002,TST-0003,TCP-0003,Первый вход в Космос,Новичок понимает основные рабочие сущности и следующий шаг,Создать безопасную тестовую запись по учебному сценарию,Запись заполнена по актуальному регламенту без реальных данных,Закрытая инструкция Космос,Создать тестовую заявку и следующий шаг,МОП,Высокая,PRIVATE,CHECK,Не публиковать скриншоты с рабочими данными
TMD-0007,TLP-0002,TST-0003,TCP-0004,Поиск ответа в базе знаний,Новичок находит ситуацию документ и владельца,Найти три ответа из первого пользовательского теста,Каждый ответ найден за 1-3 минуты и проверен статус записи,docs/first-user-test.md; docs/role-training.md,Не применяется,Ответственный за базу,Средняя,PUBLIC,CHECK,
TMD-0008,TLP-0003,TST-0004,TCP-0008,Исходящий контакт с продавцом,Новичок устанавливает контакт выявляет задачу и назначает следующий шаг,Ролевка затем рабочий звонок под сопровождением,Есть структура контакта потребность релевантная выгода и договоренность,TMR-0020; TMR-0015; TMR-0011,Создать или обновить заявку и следующий шаг,МОП или наставник,Высокая,PRIVATE,CHECK,Количество контактов берется из Космоса
TMD-0009,TLP-0003,TST-0004,TCP-0012,Входящий контакт с покупателем,Новичок квалифицирует потребность бюджет сроки и форму расчета,Ролевка затем обработка разрешенного входящего обращения,Заявка содержит достаточные вводные и договоренность,TMR-0020; TMR-0016; TMR-0011,Создать заявку и следующий шаг,МОП или наставник,Высокая,PRIVATE,CHECK,
TMD-0010,TLP-0003,TST-0004,TCP-0015,Ценность риелтора,Новичок объясняет не список услуг а полезный результат для клиента,Подготовить по одной минутной презентации продавцу и покупателю,Аргументы связаны с потребностью и не содержат ложных обещаний,TMR-0017; TMR-0015; TMR-0016,Зафиксировать результат контакта,МОП,Высокая,PRIVATE,CHECK,
